ID	Material	CF	a/A	b/A	c/A	alpha	beta	gamma	Vol/A3	nAT!H	
116	GEHSAN_clean_min_charges	H_16_C_12_N_10_O_2_Ca_2_Fe_1	17.671	17.671	13.703	95.661	95.653	92.63	4230.695	216
117	GIFKIP_clean_min_charges	H_64_C_39_N_24_Ni_4_Cd_4	13.964	15.505	19.529	89.991	102.091	90.007	4134.4595	142
118	GIMSIG_clean_min_charges	H_8_C_12_N_2_O_8_S_1_Cd_2	20.286	12.826	12.816	81.096	66.789	66.763	2816.0662	100
119	GIMVAA_clean_min_charges	H_6_C_6_N_9_Zn_2	15.428	20.134	17.805	89.98	89.987	89.995	5530.72	272
120	GINLIA_clean_min_charges	H_23_C_40_O_10_Cl_2_Zn_2	20.521	16.616	19.798	89.965	101.651	90.041	6611.5674	216
121	GITWIQ_clean_min_charges	H_4_C_6_N_6_O_4_Zn_1	22.412	17.845	17.876	79.011	71.829	71.745	6416.649	340
122	GIZJOP_clean_min_charges	H_6_C_6_N_4_Zn_1	15.826	15.805	18.637	90.0	90.002	89.996	4661.6714	176
123	GOMRAC_clean_min_charges	O_4_Al_1_P_1	19.848	19.84	15.506	74.229	74.301	82.636	5647.117	288
124	GOMREG_clean_min_charges	O_4_Al_1_P_1	19.797	19.8	15.418	74.151	74.164	82.483	5582.7993	288
125	GUFREF_clean_min_charges	H_58_C_59_N_6_O_8_Cd_2	12.636	12.6380005	23.81	81.895	81.878	65.765	3417.894	150
126	GULPIN_clean_min_charges	H_22_C_39_N_4_O_8_F_6_Zn_2	13.254	13.186	13.156	93.741	96.041	83.687	2269.2515	118
127	GUWDUY_clean_min_charges	H_20_C_25_N_5_Cl_3_La_1	13.449	13.571	13.962	77.615	65.011	63.881	2072.6052	68
128	GUXLIU_clean_min_charges	H_32_C_16_O_48_F_16_Al_13_P_16	9.898	16.558	12.187	89.965	89.971	91.592	1996.5691	109
129	GUYLOC_clean_min_charges	H_8_C_15_N_1_O_4_S_2_Zn_1	13.958	14.283	14.292	84.953	106.523	72.922	2565.0486	92
130	GUYLUI_clean_min_charges	H_8_C_15_N_1_O_4_S_2_Zn_1	19.597	14.255	14.261	102.692	103.349	103.22	3613.9785	184
131	GUYLUI01_clean_min_charges	H_8_C_15_N_1_O_4_S_2_Zn_1	19.592	14.263	14.27	102.889	103.382	103.151	3614.0698	184
132	GUYMAP_clean_min_charges	H_8_C_15_N_1_O_4_S_2_Zn_1	13.959	14.282	14.294	97.176	106.298	106.781	2552.0884	92
133	HABRIN_clean_min_charges	H_32_B_2_C_40_N_16_O_8_Zn_3	13.063	13.036	17.836	98.267	98.318	118.299	2566.3293	138
134	HAFQOW_clean_min_charges	H_40_C_64_O_40_Al_7	13.423	13.464	16.481	89.995	90.02	89.893	2978.561	111
135	HAFQUC_clean_min_charges	H_20_C_32_O_20_Al_3	13.417	13.831	16.197	89.999	89.946	90.106	3005.6792	110
136	HAMJOW_clean_min_charges	H_8_C_14_N_2_O_5_Zn_1	13.804	13.84	13.922	108.749	89.966	90.155	2518.6138	88
137	HAZNON_clean_min_charges	H_14_C_24_N_4_O_9_Br_4_Cd_2	23.83	23.831	15.27	109.83	109.896	97.193	7381.2646	344
138	HEGJUZ_clean_min_charges	H_32_C_52_N_2_O_12_Zn_3	14.712	18.13	25.12	89.962	90.097	90.047	6700.208	276
139	HEKTUO_clean_min_charges	H_112_C_240_O_96_Cd_23	20.297	22.807	18.089	99.858	89.934	116.458	7359.0737	359
140	HEXNII_clean_min_charges	H_9_C_12_N_5_S_2_Cd_1	16.019	20.377	12.161	114.729	98.091	89.99	3562.0544	160
141	HEZKIH_clean_min_charges	H_6_C_10_O_5_Zn_1	13.273	14.197	17.285	66.122	87.262	89.829	2974.4731	128
142	HICVUM_clean_min_charges	H_9_C_19_N_7_O_6_Cd_2	13.019	12.951	21.117	85.765	85.797	69.843	3328.961	136
143	HIFTOG_clean_min_charges	H_12_C_24_O_13_Zn_4	18.464	18.456	18.454	59.998	60.026	60.029	4448.4907	164
144	HIFTOG01_clean_min_charges	H_12_C_24_O_13_Zn_4	18.394	18.394	18.394	60.411	60.407	60.411	4441.383	82
145	HIFTOG02_clean_min_charges	H_12_C_24_O_13_Zn_4	18.488	18.475	18.451	59.888	59.923	59.966	4448.832	164
146	HIFVOI_clean_min_charges	H_6_C_6_N_4_Zn_1	16.501	19.542	19.54	90.0	89.994	90.039	6300.9165	176
147	HIHGOW_clean_min_charges	H_34_C_45_N_2_O_12_Zn_2	16.171	16.186	26.823	84.506	84.475	84.441	6928.7607	244
148	HIMSAY_clean_min_charges	H_16_C_34_N_9_Zn_1	22.958	12.515	14.852	90.0	90.0	90.0	4267.267	176
149	HOWPOZ_clean_min_charges	H_9_C_10_N_3_O_4_Cd_1	13.248	14.544	18.124	90.02	89.858	90.003	3492.1016	144
150	HUHJAW_clean_min_charges	H_16_C_12_N_16_Cl_2_Cd_3	15.885	18.338	19.602	92.926	114.074	82.713	5171.2734	264
151	HUTTIA_clean_min_charges	H_13_C_23_N_2_O_4_F_6_Zn_1	15.841	16.164	22.838	90.009	89.993	89.94	5847.756	288
152	IBICAZ_clean_min_charges	H_15_C_11_N_2_O_2_Cl_1_Zn_1	21.11	17.853	17.853	119.977	89.995	89.962	5828.2983	204
153	IBICED_clean_min_charges	H_15_C_11_N_2_O_2_Zn_1_Br_1	20.994	18.038	18.041	120.021	90.005	89.982	5915.3823	204
154	IBICON_clean_min_charges	H_15_C_11_N_2_O_2_Zn_1_Br_1	20.975	18.056	18.058	120.058	90.008	90.002	5919.2915	204
155	IBIDAA_clean_min_charges	H_15_C_11_N_2_O_2_Zn_1_Br_1	21.028	18.14	18.136	119.953	89.998	89.995	5993.9463	204
